Startup ID,Startup Name,Industry,Founded On,Annual Revenue (₹ Cr),Growth Rate (%),Profit Margin (%),Burn Rate (₹ Cr/Year),Founder Experience (Years),Active Customers,Current Valuation (₹ Cr),Funding Asked (₹ Cr),AI Readiness Score,Risk Score,Investment Score
ST078,Prime Tech,AgriTech,16-Jul-2027,51.4,187,29,17.2,17,363822,314,34,95,24,219.5
ST010,Spark Ventures,AI SaaS,23-Apr-2028,24.3,167,34,10.0,19,341048,368,19,95,21,218.1
ST042,Smart Innovations,AgriTech,16-Jul-2025,54.0,205,35,8.7,9,235619,99,41,93,55,217.4
ST087,Smart Tech,FoodTech,24-Jan-2026,58.1,220,28,2.5,14,357755,288,79,40,53,213.6
ST041,Prime Ventures,RetailTech,28-Aug-2028,48.5,185,38,17.8,12,480453,581,62,100,76,197.8
ST089,Next Innovations,HealthTech,18-Jul-2024,54.7,92,31,3.0,3,128102,570,22,100,24,197.1
ST046,Prime Ventures,FinTech,17-Mar-2026,21.5,188,30,13.3,16,315322,597,8,98,36,196.6
ST025,Prime Ventures,FinTech,29-Sep-2027,53.0,109,23,3.7,19,433397,587,43,85,58,194.2
ST066,Blue Dynamics,Logistics,27-May-2025,42.6,84,37,10.2,16,18560,113,34,45,25,191.6
ST088,Prime Ventures,CleanTech,03-Jun-2027,24.1,178,28,2.8,9,121060,84,64,70,23,191.0
ST056,Spark Solutions,AgriTech,08-Apr-2026,34.2,76,35,12.0,17,367695,269,44,68,22,188.2
ST019,Spark AI,EdTech,12-Apr-2026,27.7,155,11,1.9,19,259615,512,32,93,21,187.9
ST031,Green AI,AgriTech,30-Jul-2028,48.5,203,20,5.5,5,486533,491,49,64,24,187.7
ST068,Future Dynamics,HealthTech,22-Oct-2028,59.8,126,36,17.5,17,89318,357,57,62,72,187.6
ST005,Blue Solutions,FoodTech,25-Jul-2027,40.4,212,23,17.7,9,442314,393,25,95,32,185.4
ST014,Next Bridge,CleanTech,16-Jun-2026,17.4,170,32,17.4,19,476656,549,62,88,45,184.2
ST012,Prime Dynamics,FoodTech,09-Feb-2024,10.9,210,15,10.2,18,63650,391,44,98,20,183.2
ST030,Growth Bridge,FinTech,02-Jan-2025,58.5,206,14,16.7,9,391171,360,57,95,40,179.7
ST055,Smart AI,HealthTech,09-May-2025,14.3,219,21,6.8,10,382526,436,67,75,21,179.5
